ID;STATUS;AANBIEDER;AANSLUITINGEN;DATUMPLAATSING;ADRES;geo_shape;geo_point_2d
308031.0;Bestaand;Allegro;2.0;;Badelochstraat;"{""coordinates"": [5.471338210115161, 51.47047673602885], ""type"": ""Point""}";51.47047673602885,5.471338210115161
308055.0;Bestaand;Allegro;2.0;2022-09-14T04:00:00+02:00;Waterfront th hu 13;"{""coordinates"": [5.404692394225956, 51.43770878946666], ""type"": ""Point""}";51.43770878946666,5.404692394225956
308071.0;Bestaand;EVnetNL;2.0;2022-09-12T04:00:00+02:00;Zaanstraat 19, Acht;"{""coordinates"": [5.425637169543503, 51.479551498689986], ""type"": ""Point""}";51.479551498689986,5.425637169543503
308208.0;Aangevraagde locatie;Park n charge;2.0;2022-04-26T04:00:00+02:00;Nieuwe Fellenoord;"{""coordinates"": [5.472995664202638, 51.44712346671926], ""type"": ""Point""}";51.44712346671926,5.472995664202638
308093.0;;;;;;"{""coordinates"": [5.476640010358256, 51.48325128259502], ""type"": ""Point""}";51.48325128259502,5.476640010358256
308096.0;;;;;;"{""coordinates"": [5.490100292634439, 51.42745966301884], ""type"": ""Point""}";51.42745966301884,5.490100292634439
308100.0;;;;;;"{""coordinates"": [5.446365646630597, 51.449588605093105], ""type"": ""Point""}";51.449588605093105,5.446365646630597
308103.0;;;;;;"{""coordinates"": [5.482498562473027, 51.44022386989245], ""type"": ""Point""}";51.44022386989245,5.482498562473027
308121.0;;;;;;"{""coordinates"": [5.492853246813479, 51.42140789344389], ""type"": ""Point""}";51.42140789344389,5.492853246813479
308125.0;;;;;;"{""coordinates"": [5.474496368437973, 51.48228138881831], ""type"": ""Point""}";51.48228138881831,5.474496368437973
308140.0;;;;;;"{""coordinates"": [5.467643324968943, 51.43734502820515], ""type"": ""Point""}";51.43734502820515,5.467643324968943
308042.0;;;;;;"{""coordinates"": [5.481190771533727, 51.472542433463], ""type"": ""Point""}";51.472542433463,5.481190771533727
308050.0;;;;;;"{""coordinates"": [5.494914161018284, 51.47036786394888], ""type"": ""Point""}";51.47036786394888,5.494914161018284
308057.0;;;;;;"{""coordinates"": [5.454558900886318, 51.44151033884862], ""type"": ""Point""}";51.44151033884862,5.454558900886318
308058.0;;;;;;"{""coordinates"": [5.4390254431780205, 51.441691269194905], ""type"": ""Point""}";51.441691269194905,5.4390254431780205
308060.0;;;;;;"{""coordinates"": [5.505255621047547, 51.41846984348436], ""type"": ""Point""}";51.41846984348436,5.505255621047547
308078.0;Bestaand;E-flux;2.0;2022-09-12T04:00:00+02:00;Normandiëlaan, th HU 51;"{""coordinates"": [5.45184575354837, 51.480811042189345], ""type"": ""Point""}";51.480811042189345,5.45184575354837
308079.0;;;;;;"{""coordinates"": [5.465436665525525, 51.45015271538821], ""type"": ""Point""}";51.45015271538821,5.465436665525525
308092.0;;;;;;"{""coordinates"": [5.473859996710349, 51.432326628438275], ""type"": ""Point""}";51.432326628438275,5.473859996710349
308095.0;;;;;;"{""coordinates"": [5.46041180304985, 51.472575771504005], ""type"": ""Point""}";51.472575771504005,5.46041180304985
308097.0;;;;;;"{""coordinates"": [5.493883028883907, 51.4244658316606], ""type"": ""Point""}";51.4244658316606,5.493883028883907
308102.0;;;;;;"{""coordinates"": [5.490730466883359, 51.4309540380496], ""type"": ""Point""}";51.4309540380496,5.490730466883359
308104.0;Bestaand;Allegro;2.0;2022-09-20T04:00:00+02:00;Torenberglaan;"{""coordinates"": [5.468362655586113, 51.48328831219518], ""type"": ""Point""}";51.48328831219518,5.468362655586113
308105.0;;;;;;"{""coordinates"": [5.490532646913139, 51.41368930098809], ""type"": ""Point""}";51.41368930098809,5.490532646913139
308111.0;;;;;;"{""coordinates"": [5.463942078656406, 51.43009603041058], ""type"": ""Point""}";51.43009603041058,5.463942078656406
308114.0;;;;;;"{""coordinates"": [5.494085138566155, 51.42944112462241], ""type"": ""Point""}";51.42944112462241,5.494085138566155
308117.0;Bestaand;Allegro;2.0;2022-09-12T04:00:00+02:00;Tourslaan;"{""coordinates"": [5.4449798853112155, 51.48794411843514], ""type"": ""Point""}";51.48794411843514,5.4449798853112155
308119.0;;;;;;"{""coordinates"": [5.4744899687386, 51.437152033484836], ""type"": ""Point""}";51.437152033484836,5.4744899687386
308120.0;;;;;;"{""coordinates"": [5.501090682870829, 51.47490773233488], ""type"": ""Point""}";51.47490773233488,5.501090682870829
308123.0;;;;;;"{""coordinates"": [5.478354038414208, 51.45490570771628], ""type"": ""Point""}";51.45490570771628,5.478354038414208
308124.0;;;;;;"{""coordinates"": [5.484514590611936, 51.469610256907664], ""type"": ""Point""}";51.469610256907664,5.484514590611936
308127.0;;;;;;"{""coordinates"": [5.503836404763035, 51.43004632155877], ""type"": ""Point""}";51.43004632155877,5.503836404763035
308141.0;;;;;;"{""coordinates"": [5.461203755648135, 51.43817206203491], ""type"": ""Point""}";51.43817206203491,5.461203755648135
308151.0;;;;;;"{""coordinates"": [5.501133884869231, 51.42488789277768], ""type"": ""Point""}";51.42488789277768,5.501133884869231
308155.0;Bestaand;Allegro;2.0;2022-09-12T04:00:00+02:00;Heraultlaan th HU 9;"{""coordinates"": [5.438006454463948, 51.48529741635901], ""type"": ""Point""}";51.48529741635901,5.438006454463948
308163.0;;;;;;"{""coordinates"": [5.46719042254909, 51.43547313454591], ""type"": ""Point""}";51.43547313454591,5.46719042254909
308166.0;;;;;;"{""coordinates"": [5.446416152271788, 51.42116702695305], ""type"": ""Point""}";51.42116702695305,5.446416152271788
308168.0;;;;;;"{""coordinates"": [5.480644163598816, 51.46912972902244], ""type"": ""Point""}";51.46912972902244,5.480644163598816
308171.0;;;;;;"{""coordinates"": [5.510703245257973, 51.41913729197314], ""type"": ""Point""}";51.41913729197314,5.510703245257973
308173.0;Bestaand;Allegro;2.0;2022-09-28T04:00:00+02:00;Zeelsterstraat;"{""coordinates"": [5.437754053712527, 51.437653426009696], ""type"": ""Point""}";51.437653426009696,5.437754053712527
308174.0;Bestaand;Allegro;2.0;;Slangenburg;"{""coordinates"": [5.438249334450077, 51.41597915105685], ""type"": ""Point""}";51.41597915105685,5.438249334450077
308179.0;Bestaand;Allegro;2.0;2022-09-13T04:00:00+02:00;Veldmaarschalk Montgomerylaan;"{""coordinates"": [5.477629022834306, 51.458770911769776], ""type"": ""Point""}";51.458770911769776,5.477629022834306
308186.0;;;;;;"{""coordinates"": [5.50124922858924, 51.42771755263618], ""type"": ""Point""}";51.42771755263618,5.50124922858924
308189.0;Bestaand;Allegro;2.0;2022-09-14T04:00:00+02:00;Bosruiter;"{""coordinates"": [5.414336131064024, 51.447439156361696], ""type"": ""Point""}";51.447439156361696,5.414336131064024
308190.0;;;;;;"{""coordinates"": [5.477715949418625, 51.449320470262805], ""type"": ""Point""}";51.449320470262805,5.477715949418625
308192.0;;;;;;"{""coordinates"": [5.497308361578131, 51.47243718725319], ""type"": ""Point""}";51.47243718725319,5.497308361578131
308193.0;Bestaand;Park n charge;2.0;2022-09-21T04:00:00+02:00;Soetendaal;"{""coordinates"": [5.432399178507346, 51.41581895967918], ""type"": ""Point""}";51.41581895967918,5.432399178507346
308196.0;;;;;;"{""coordinates"": [5.487832332146025, 51.423180020881574], ""type"": ""Point""}";51.423180020881574,5.487832332146025
308199.0;;;;;;"{""coordinates"": [5.461330240348821, 51.46863283013163], ""type"": ""Point""}";51.46863283013163,5.461330240348821
308200.0;;;;;;"{""coordinates"": [5.464663841111417, 51.418325220691884], ""type"": ""Point""}";51.418325220691884,5.464663841111417
308221.0;;;;;;"{""coordinates"": [5.475974479120831, 51.43776542230743], ""type"": ""Point""}";51.43776542230743,5.475974479120831
308224.0;Aangevraagde locatie;Park n charge;2.0;2022-06-20T04:00:00+02:00;;"{""coordinates"": [5.492395012459853, 51.42506198847055], ""type"": ""Point""}";51.42506198847055,5.492395012459853
308225.0;;;;;;"{""coordinates"": [5.4923950196405125, 51.425061984868606], ""type"": ""Point""}";51.425061984868606,5.4923950196405125
308279.0;Bestaand;E-flux;2.0;2022-09-15T04:00:00+02:00;van Renesseweg;"{""coordinates"": [5.513521749410858, 51.428389126680656], ""type"": ""Point""}";51.428389126680656,5.513521749410858
308268.0;Aangevraagde locatie;Allegro;2.0;;;"{""coordinates"": [5.462895724363642, 51.47843575920673], ""type"": ""Point""}";51.47843575920673,5.462895724363642
308156.0;;;;;;"{""coordinates"": [5.464324658011065, 51.4368826954445], ""type"": ""Point""}";51.4368826954445,5.464324658011065
308201.0;;;;;;"{""coordinates"": [5.483114060805235, 51.41415758860338], ""type"": ""Point""}";51.41415758860338,5.483114060805235
308277.0;Bestaand;Allegro;2.0;2022-09-14T04:00:00+02:00;Zanderiger 9;"{""coordinates"": [5.411553145311138, 51.44569416180834], ""type"": ""Point""}";51.44569416180834,5.411553145311138
307939.0;Bestaand;EVnetNL;2.0;2022-09-21T04:00:00+02:00;Hurksestraat;"{""coordinates"": [5.437966833203779, 51.43346180632584], ""type"": ""Point""}";51.43346180632584,5.437966833203779
308185.0;Bestaand;Allegro;2.0;2022-09-21T04:00:00+02:00;Twickel;"{""coordinates"": [5.435598486967063, 51.415515228342514], ""type"": ""Point""}";51.415515228342514,5.435598486967063
308175.0;Bestaand;Park n charge;2.0;2022-09-21T04:00:00+02:00;Duistervoorde;"{""coordinates"": [5.439287507959001, 51.416786944421204], ""type"": ""Point""}";51.416786944421204,5.439287507959001
308160.0;Bestaand;Allegro;2.0;2022-09-27T04:00:00+02:00;Vuurvogel;"{""coordinates"": [5.480181719659933, 51.488495407367246], ""type"": ""Point""}";51.488495407367246,5.480181719659933
308184.0;Bestaand;Allegro;2.0;2022-09-27T04:00:00+02:00;Vaartbroek;"{""coordinates"": [5.5009790819264826, 51.479058234961215], ""type"": ""Point""}";51.479058234961215,5.5009790819264826
307982.0;;;;;;"{""coordinates"": [5.525313447553077, 51.449237566171455], ""type"": ""Point""}";51.449237566171455,5.525313447553077
307984.0;;;;;;"{""coordinates"": [5.460288950306234, 51.4667285054538], ""type"": ""Point""}";51.4667285054538,5.460288950306234
307985.0;Bestaand;Allegro;2.0;2022-06-30T04:00:00+02:00;Aarlenlaan;"{""coordinates"": [5.481715905188195, 51.48287660078183], ""type"": ""Point""}";51.48287660078183,5.481715905188195
307988.0;;;;;;"{""coordinates"": [5.476384645980088, 51.447791833597925], ""type"": ""Point""}";51.447791833597925,5.476384645980088
307989.0;Bestaand;Allegro;2.0;2022-09-27T04:00:00+02:00;Goudrenetstraat;"{""coordinates"": [5.494663863099957, 51.480662996638706], ""type"": ""Point""}";51.480662996638706,5.494663863099957
307991.0;;;;;;"{""coordinates"": [5.512390203716979, 51.4377050069665], ""type"": ""Point""}";51.4377050069665,5.512390203716979
307993.0;;;;;;"{""coordinates"": [5.464113507742948, 51.432993354849884], ""type"": ""Point""}";51.432993354849884,5.464113507742948
307997.0;;;;;;"{""coordinates"": [5.497119992564447, 51.46842593463086], ""type"": ""Point""}";51.46842593463086,5.497119992564447
307998.0;;;;;;"{""coordinates"": [5.482455683312373, 51.42210034657467], ""type"": ""Point""}";51.42210034657467,5.482455683312373
307999.0;;;;;;"{""coordinates"": [5.490844547879493, 51.43426588672691], ""type"": ""Point""}";51.43426588672691,5.490844547879493
308000.0;;;;;;"{""coordinates"": [5.469138068829702, 51.42915736849371], ""type"": ""Point""}";51.42915736849371,5.469138068829702
308005.0;Bestaand;Allegro;2.0;2022-09-14T04:00:00+02:00;Graslinnen;"{""coordinates"": [5.418009340025198, 51.43529215815344], ""type"": ""Point""}";51.43529215815344,5.418009340025198
308008.0;;;;;;"{""coordinates"": [5.445448917289827, 51.44572241347542], ""type"": ""Point""}";51.44572241347542,5.445448917289827
308011.0;;;;;;"{""coordinates"": [5.484098088785318, 51.44489672080253], ""type"": ""Point""}";51.44489672080253,5.484098088785318
307901.0;;;;;;"{""coordinates"": [5.450148896824448, 51.43912955246835], ""type"": ""Point""}";51.43912955246835,5.450148896824448
307905.0;;;;;;"{""coordinates"": [5.458900744270603, 51.44542278537904], ""type"": ""Point""}";51.44542278537904,5.458900744270603
307911.0;;;;;;"{""coordinates"": [5.462401787387076, 51.42338422545572], ""type"": ""Point""}";51.42338422545572,5.462401787387076
307916.0;;;;;;"{""coordinates"": [5.443524006711996, 51.415753480402266], ""type"": ""Point""}";51.415753480402266,5.443524006711996
307918.0;;;;;;"{""coordinates"": [5.475836045783301, 51.41703298115314], ""type"": ""Point""}";51.41703298115314,5.475836045783301
307919.0;;;;;;"{""coordinates"": [5.494501540444176, 51.44216845434256], ""type"": ""Point""}";51.44216845434256,5.494501540444176
307921.0;;;;;;"{""coordinates"": [5.492405510847326, 51.43732110395258], ""type"": ""Point""}";51.43732110395258,5.492405510847326
307925.0;;;2.0;;Alberdingk Thijmlaan stadspaviljoen;"{""coordinates"": [5.482854397689235, 51.42819877816498], ""type"": ""Point""}";51.42819877816498,5.482854397689235
307926.0;;;;;;"{""coordinates"": [5.475054209809705, 51.43439587012782], ""type"": ""Point""}";51.43439587012782,5.475054209809705
307927.0;;;;;;"{""coordinates"": [5.47069688486717, 51.43767431680545], ""type"": ""Point""}";51.43767431680545,5.47069688486717
307932.0;Bestaand;EVnetNL;2.0;2022-09-13T04:00:00+02:00;Europalaan;"{""coordinates"": [5.481456981560022, 51.45741405806868], ""type"": ""Point""}";51.45741405806868,5.481456981560022
307942.0;;;2.0;;Limburglaan;"{""coordinates"": [5.451140419112179, 51.43467258932581], ""type"": ""Point""}";51.43467258932581,5.451140419112179
307945.0;;;;;;"{""coordinates"": [5.442069059113355, 51.438826692203385], ""type"": ""Point""}";51.438826692203385,5.442069059113355
307955.0;;;;;;"{""coordinates"": [5.46148057969857, 51.4229606950203], ""type"": ""Point""}";51.4229606950203,5.46148057969857
