Objectid ;Straat ;Type_en_merk ;Aantal ;geo_shape;geo_point_2d
95;Marconilaan;Parkeerplaats;1.0;"{""coordinates"": [5.457883100818988, 51.450176173744275], ""type"": ""Point""}";51.450176173744275,5.457883100818988
100;Veldmaarschalk Montgomerylaan;Parkeerplaats Gehandicapten;1.0;"{""coordinates"": [5.471091820717634, 51.44533602001621], ""type"": ""Point""}";51.44533602001621,5.471091820717634
104;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""coordinates"": [5.470953417483847, 51.445463318323576], ""type"": ""Point""}";51.445463318323576,5.470953417483847
105;Veldmaarschalk Montgomerylaan;Parkeerplaats;1.0;"{""coordinates"": [5.470993711728869, 51.44542601331786], ""type"": ""Point""}";51.44542601331786,5.470993711728869
108;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.4841236572819625, 51.44487323909643], ""type"": ""Point""}";51.44487323909643,5.4841236572819625
111;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484244332061644, 51.44488243285823], ""type"": ""Point""}";51.44488243285823,5.484244332061644
114;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484343529009412, 51.4448906107205], ""type"": ""Point""}";51.4448906107205,5.484343529009412
115;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484378244800656, 51.444893682840444], ""type"": ""Point""}";51.444893682840444,5.484378244800656
116;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484411304205162, 51.444895722636176], ""type"": ""Point""}";51.444895722636176,5.484411304205162
117;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484441055216448, 51.44489775619705], ""type"": ""Point""}";51.44489775619705,5.484441055216448
123;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484067034745376, 51.44467394452511], ""type"": ""Point""}";51.44467394452511,5.484067034745376
124;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484062139229609, 51.444698739344986], ""type"": ""Point""}";51.444698739344986,5.484062139229609
129;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.48403594981002, 51.444822696887336], ""type"": ""Point""}";51.444822696887336,5.48403594981002
130;Professor Dr Dorgelolaan;Parkeerplaats;1.0;"{""coordinates"": [5.484099792428469, 51.44452725815476], ""type"": ""Point""}";51.44452725815476,5.484099792428469
